Company,Location,Date,Rocket,RocketStatus,Price,MissionStatus,Year
Arianespace,Australia,1957-08-24,Antares,Retired,4.89,Success,1957
RVSN USSR,India,1957-06-02,Long March 3B,Retired,,Success,1957
Virgin Orbit,China,1957-12-25,Falcon 9,Active,,Success,1957
SpaceX,Kazakhstan,1957-05-19,Starship,Retired,,Success,1957
Roscosmos,China,1957-12-14,H-IIA,Active,,Success,1957
NASA,New Zealand,1957-12-07,Vega,Active,,Success,1957
Virgin Orbit,Australia,1957-02-08,Pegasus XL,Retired,,Success,1957
Arianespace,Russia,1957-06-18,Vulcan,Active,,Success,1957
Boeing,Russia,1957-08-14,Vega,Retired,,Success,1957
Roscosmos,New Zealand,1957-02-15,Vulcan,Retired,,Success,1957
CASC,Australia,1957-09-15,Vega,Active,,Failure,1957
SpaceX,New Zealand,1958-08-24,Proton-M,Retired,,Success,1958
Japan JAXA,Kazakhstan,1958-11-05,Falcon 9,Active,,Success,1958
Boeing,Japan,1958-08-12,Vega,Active,,Success,1958
NASA,USA,1958-03-12,Proton-M,Retired,,Success,1958
ESA,India,1958-03-01,Electron,Retired,,Success,1958
CASC,Japan,1958-10-10,Pegasus XL,Active,,Success,1958
Virgin Orbit,Kazakhstan,1958-04-05,Pegasus XL,Active,,Partial Failure,1958
Roscosmos,Japan,1958-07-27,Antares,Active,30.22,Success,1958
RVSN USSR,India,1958-09-21,Starship,Active,,Success,1958
ULA,France,1958-07-28,Vulcan,Retired,,Success,1958
ISRO,Japan,1958-09-03,Vulcan,Active,251.76,Partial Failure,1958
Roscosmos,India,1958-01-19,PSLV,Active,,Success,1958
Boeing,Australia,1958-09-20,Pegasus XL,Active,,Success,1958
SpaceX,USA,1958-02-03,Vega,Active,,Success,1958
SpaceX,China,1958-02-02,Falcon 9,Retired,,Success,1958
Virgin Orbit,India,1958-02-21,Proton-M,Retired,,Partial Failure,1958
Virgin Orbit,India,1958-11-17,Proton-M,Active,,Success,1958
ULA,Australia,1959-01-09,Long March 3B,Retired,,Partial Failure,1959
Virgin Orbit,India,1959-04-19,Antares,Active,,Success,1959
Boeing,Kazakhstan,1959-04-09,Pegasus XL,Active,,Success,1959
SpaceX,Australia,1959-09-25,Proton-M,Active,,Success,1959
NASA,Japan,1959-12-16,Pegasus XL,Active,,Failure,1959
Boeing,New Zealand,1959-12-05,Ariane 5,Active,,Success,1959
CASC,Japan,1959-03-20,H-IIA,Active,,Partial Failure,1959
ESA,India,1959-01-08,PSLV,Active,,Success,1959
Arianespace,India,1959-09-03,PSLV,Retired,,Success,1959
ISRO,Russia,1959-09-04,Vulcan,Retired,,Success,1959
SpaceX,France,1959-08-08,Falcon 9,Active,38.46,Success,1959
Roscosmos,Kazakhstan,1959-06-06,Falcon 9,Active,10.55,Success,1959
Rocket Lab,Kazakhstan,1959-05-01,Delta IV,Active,,Success,1959
Virgin Orbit,USA,1959-03-17,Long March 3B,Active,,Success,1959
SpaceX,China,1959-01-14,Delta IV,Active,,Partial Failure,1959
CASC,Kazakhstan,1959-07-01,Starship,Retired,,Partial Failure,1959
RVSN USSR,Russia,1959-08-14,H-IIA,Active,,Failure,1959
ESA,Russia,1959-11-10,Pegasus XL,Active,21.63,Failure,1959
NASA,USA,1959-07-10,PSLV,Active,,Success,1959
Boeing,Kazakhstan,1960-10-07,Soyuz-U,Active,,Success,1960
ISRO,France,1960-03-23,Antares,Retired,28.02,Success,1960
Japan JAXA,Russia,1960-03-25,Soyuz-U,Retired,,Success,1960
Boeing,India,1960-10-06,Vega,Retired,,Success,1960
Japan JAXA,India,1960-12-12,Electron,Retired,,Success,1960
Virgin Orbit,China,1960-04-15,Proton-M,Active,46.84,Success,1960
RVSN USSR,Japan,1960-12-10,PSLV,Active,,Success,1960
Blue Origin,Kazakhstan,1960-07-26,Falcon 9,Active,,Success,1960
CASC,China,1960-01-26,Vulcan,Active,,Success,1960
Boeing,USA,1960-09-08,Pegasus XL,Retired,,Success,1960
Rocket Lab,China,1960-05-22,Falcon 9,Retired,,Success,1960
Roscosmos,Kazakhstan,1961-12-05,Starship,Active,36.33,Success,1961
Japan JAXA,USA,1961-10-26,Vulcan,Retired,,Success,1961
CASC,Japan,1961-10-10,Ariane 5,Retired,,Success,1961
ULA,China,1961-10-19,Ariane 5,Active,,Success,1961
Boeing,USA,1961-07-02,PSLV,Active,,Success,1961
SpaceX,France,1961-01-01,PSLV,Active,,Success,1961
Rocket Lab,Kazakhstan,1961-08-10,Electron,Retired,,Success,1961
Northrop,Russia,1961-08-26,Antares,Retired,20.53,Success,1961
Boeing,Russia,1961-02-13,Atlas V,Retired,,Success,1961
Northrop,Australia,1961-04-10,Ariane 5,Active,,Failure,1961
CASC,New Zealand,1961-04-18,PSLV,Retired,,Success,1961
SpaceX,Japan,1961-12-17,PSLV,Retired,,Success,1961
Roscosmos,Japan,1961-04-16,H-IIA,Active,,Partial Failure,1961
ISRO,India,1961-12-09,Antares,Active,,Success,1961
RVSN USSR,New Zealand,1961-04-19,Proton-M,Retired,,Success,1961
Boeing,China,1961-11-21,Long March 3B,Active,,Partial Failure,1961
Arianespace,China,1961-11-18,Proton-M,Active,80.59,Success,1961
Virgin Orbit,New Zealand,1962-07-14,Vega,Active,407.63,Success,1962
Rocket Lab,Australia,1962-02-05,Vega,Active,,Success,1962
Rocket Lab,China,1962-01-22,Delta IV,Active,,Success,1962
Arianespace,USA,1962-04-06,Pegasus XL,Retired,,Success,1962
Virgin Orbit,Kazakhstan,1962-10-19,Antares,Active,,Success,1962
Roscosmos,Kazakhstan,1962-04-28,Antares,Retired,,Success,1962
ESA,New Zealand,1962-09-28,Proton-M,Active,,Success,1962
SpaceX,New Zealand,1962-10-12,PSLV,Active,,Success,1962
Rocket Lab,China,1962-04-03,Delta IV,Retired,,Success,1962
RVSN USSR,France,1962-01-21,H-IIA,Active,,Success,1962
ULA,India,1962-12-21,Atlas V,Retired,47.79,Success,1962
ESA,France,1962-12-28,Vega,Active,176.19,Success,1962
CASC,New Zealand,1962-01-09,Ariane 5,Active,,Success,1962
SpaceX,China,1962-03-06,Ariane 5,Retired,,Success,1962
NASA,Kazakhstan,1962-08-18,Long March 3B,Active,,Success,1962
Northrop,China,1962-01-11,Proton-M,Retired,,Success,1962
CASC,New Zealand,1962-01-02,Delta IV,Active,,Success,1962
ISRO,Kazakhstan,1962-05-06,Pegasus XL,Active,74.53,Success,1962
